	TeamName	Annotation
27469	#ЦветНастроенияКрасный	, Цвет настроения синий, , , , , , , 
27470	Синхрофазотроллинг	, Синхрофазотрон, , , , , , , 
27471	ГутенНахт	, Guten Nacht, , , , , , , 
27472	Пи_здесь!	, мат, , , , , , , 
27473	Отслойка Камчатки	, Отслойка сетчатки, , , , , , , 
27474	50 извилин на самоизоляции	, 50 дней до самоубийства, , , , , , , 
27475	Квинс	, Queens, , , , , , , 
27476	11 друзей Пушкина	, 11 друзей Оушена, , , , , , , 
27477	Дональд Трампампам	, Дональд Трамп, , , , , , , 
27478	Философский парень	, Философский камень, , , , , , , 
27479	Ханя Тим	, Таня Хим, , , , , , , 
27480	Удаленщики на карантикулах	, Удалёнщики на каникулах, , Удалёнщики на карантине, , , , , 
27481	ОРГИя	Оргия, , , , , , , , 
27482	Гарри Поттер и Тайна КОКОшника	, , Гарри Поттер и тайная комната, , , , , , 
27483	Контишшкитеры	Мушкетеры, , , , , , , , 
27484	Висакосный Кот	Високосный год, , , , , , , , 
27485	Теория невероятности	, Теория вероятности, , , , , , , 
27486	лаBEERинты раZOOMа	, Лабиринты разума, , , , , , , 
27487	Пломбозавры	Динозавры, , , , , , , , 
27488	Если не мы, то Кот!	, Если не мы, то кто?, , , , , , , 
27489	Число Ти	Число Пи, , , , , , , , 
27490	Ремнём по Жоре	Ремнём по жопе, , , , , , , , 
27491	Авакадо	Авокадо, , , , , , , , 
27492	финиксы	Фениксы, , , , , , , , 
27493	Альдебараны	Альдебаран, , , , , , , , 
27494	Острые каблуки	Острые козырьки, , , , , , , , 
27495	Убийство в восточном СПК	, Убийство в восточном экспрессе, , , , , , , 
27496	Лучше Познер, чем никогда	, Лучше поздно, чем никогда, , , , , , , 
27497	Дастоевские 69	Достоевские 69, , , , , , , , 
27498	ШОС меня сломишь!	, Что с меня сломишь!, , , , , , , 
27499	11 друзей Друзя	11 друзей Оушена, , , , , , , , 
27500	Гуси-Лебедев	, Гуси-Лебеди, , , , , , , 
27501	кепчук и кыр сосичка	, Кетчуп и сыр косичка, , , , , , , 
27502	Влажность не порог	, Важность не порог, , , , , , , 
27503	Ход Ежом	Ход конём, , , , , , , , 
27504	Мозгогрызы	Спиногрызы, Мозгоклюи, , , , , , , 
27505	Молодые . . иСправимся	, Молодые..справимся, , , , , , , 
27506	46 хромосом	47 хромосом, , , , , , , , 
27507	Над пропастью не ржи	, Над пропастью во ржи, , , , , , , 
27508	Борись Бурда	Борис Бурда, , , , , , , , 
27509	BESTиЯ	Бестия, , , , , , , , 
27510	мозгоеды	Мозгоклюи, , , , , , , , 
27511	Drink Team	Dream Team, , , , , , , , 
27512	Ход Ежом®	ход конём, , , , , , , , 
27513	Достучаться до мозгов	, Достучаться до небес, , , , , , , 
27514	Синие духом	Сильные духом, , , , , , , , 
27515	Василий Андреевич меняет профессию	, , Иван Васильевич меняет профессию, , , , , , 
27516	Посторонним В	Посторонним вход воспрещён, , , , , , , , 
27517	Калхоз	Колхоз, , , , , , , , 
27518	Без бороды	  , , , , , , , , 
27519	Winks	Winx, , , , , , , , 
27520	Слитки общества	Сливки общества, , , , , , , , 
27521	Бабки и Ежики	Бабки ёжки, , , , , , , , 
27522	KIFFIR	Кефир, , , , , , , , 
27523	ЗаUSBись	мат, , , , , , , , 
27524	Надежда ест	Надежда есть, , , , , , , , 
27525	Хурма какая-то	мат, , , , , , , , 
27526	Семейка неАдамсов.	, Семейка Адамс, , , , , , , 
27527	Здесь могла быть ваша команда	, Здесь могла быть ваша реклама, , , , , , , 
27528	Над пропастью моржи	, Над пропастью во ржи, , , , , , , 
27529	2пить or not ту_пить	, To be or not to be, , , , , , , 
27530	Цвет настроения Телепузик!	, Цвет настроения синий, , , , , , , 
27531	Атличники	Отличники, , , , , , , , 
27532	Русские перцы	Русские певцы, , , , , , , , 
27533	Этиловый флирт	Этиловый спирт, , , , , , , , 
27534	VSМысЛи	В смысле, , , , , , , , 
27535	аMORIARTIзация	Амортизация, , , , , , , , 
27536	я и бал	мат?, , , , , , , , 
27537	Мало мужчин	Мало половин, , , , , , , , 
27538	50 оттенков блица	50 оттенков серого, , , , , , , , 
27539	Еперный театр	Оперный театр, , , , , , , , 
27540	Что? Где? Зачем?	Что? Где? Когда?, , , , , , , , 
27541	Приключения Болека в Лелеке	, Приключения Болека и Лелека, , , , , , , 
27542	Мамы шпионов	Дети шпионов, , , , , , , , 
27543	Счастливые в бизнесе	, Счастливе в браке, , , , , , , 
27544	Квентин Карантино	Квентин Тарантино, , , , , , , , 
27545	Коровавирус	Короновирус, , , , , , , , 
27546	ASTраханские арбузы	, Астраханские арбузы, , , , , , , 
27547	Big Brain	Big Ben, , , , , , , , 
27548	Неестественнный отбор	, Естественный отбор, , , , , , , 
27549	Друзья Друзя	Друзья друзей, , , , , , , , 
27550	МалифиСекта	Малифисента, , , , , , , , 
27551	Всем бобра	Всем добра, , , , , , , , 
27552	7Я	Семья, , , , , , , , 
27553	ТовариЩИдевки	Товарищи и девки, , , , , , , , 
27554	Тише, Маги, я Дубровский	, Спокойно, Маша, я Дубровский, , , , , , , 
27555	Антиллектуалы	Интеллектуалы, , , , , , , , 
27556	Денвик	Дневник, , , , , , , , 
27557	Триумфальная жарка	, Триумфальная арка, , , , , , , 
27558	Рука на Бабе	Рука не бедре, , , , , , , , 
27559	Тупые кОчки	тупые кочкИ, , , , , , , , 
27560	Если не мы, то Pussy!	, Если не мы, то кто?, , , , , , , 
27561	Pussy-лебеди	Гуси-лебеди, , , , , , , , 
27562	Могли, но не Сталин	, Могли, но не стали, , , , , , , 
27563	Весёлые карантинки	, Весёлые картинки, , , , , , , 
27564	Займ в большом городе	, Секс в большом городе?, , , , , , , 
27565	СпортШик	Спортик, , , , , , , , 
27566	Три торшера	Три мушкетёра, , , , , , , , 
27567	джастИНТИМбирлейк	, Джастин Тимберлейк, , , , , , , 
27568	БуХОРест	Бухарест, , , , , , , , 
27569	Паровозие из Ромашкова	, Паровозик из Ромашково, , , , , , , 
27570	Хочется-ПереХОХОчется	, Хочется- перехочется, , , , , , , 
27571	Мы девоски, нам можно	, Мы девочки, нам можно, , , , , , , 
27572	Мишки гамят	Мишки гамми, , , , , , , , 
27573	НАША СИЛА В ПЛАВЦКАХ!!!	, Наша сила в пловцах!, , , , , , , 
27574	Омары Хайяма	Омар Хайям, , , , , , , , 
27575	Нови4ок	Новичок, , , , , , , , 
27576	iМадалец	Ай, молодец, , , , , , , , 
27577	Пятёрка и вЛатарь	Пятёрка и вратарь, , , , , , , , 
27578	ПОДВАЛьчик знаний	, Подвальчик знаний, , , , , , , 
27579	Тайна КОКОшника	Тайна Коко, , , , , , , , 
27580	Море от ума	Горе от ума, , , , , , , , 
27581	БЕЗумные	Безумные, , , , , , , , 
27582	Is1999	Из 1999, , , , , , , , 
27583	То князи, то в грязи	, Из грязи в князи, , , , , , , 
27584	Дастоевские	Достоевские, , , , , , , , 
27585	Духаст Вячеславыч	, Du hast, , , , , , , 
27586	Геолог Оргий	Георгий, , , , , , , , 
27587	Шляпа Распредельщица	, Распределительная шляпа, , , , , , , 
27588	SOSки	Соски, , , , , , , , 
27589	Вундервунды	Вундеркинды, , , , , , , , 
27590	Обычно всё прилично	, Как обычно всё клубнично!, , , , , , , 
27591	АбрЫкосы	Абрикосы, , , , , , , , 
27592	Вива революсьон	Viva la revolution, , , , , , , , 
27593	Требую Авокадо!	Требую адвоката!, , , , , , , , 
27594	Бандюгары	Бандюганы, , , , , , , , 
27595	Никакие как все	Не такие как все, , , , , , , , 
27596	ИТ-С My Life	its my life, , , , , , , , 
27597	50 оттенков логики	50 оттенков серого, , , , , , , , 
27598	Я и бал принцесс	мат, , , , , , , , 
27599	InTeam	Интим, , , , , , , , 
27600	Старый новый Геральт	, Старый новый год, , , , , , , 
27601	Цвет настроения #000000	, Цвет настроения чёрный, , , , , , , 
27602	Белые каски	Белые хаски, Белые краски, , , , , , , 
27603	Институт благородных уже не девиц	, Институт благородных девиц, , , , , , , 
27604	Тебе квизда	мат, , , , , , , , 
27605	Иожиги	Ёжики, , , , , , , , 
27606	Воланд-де-Чёрт	Волан де Морт, , , , , , , , 
27607	Коолева Карантина	Королева Карантина, , , , , , , , 
27608	Друзья Гоушена	11 друзей Оушена, , , , , , , , 
27609	Авада Кидалово	Авада Кедавра, , , , , , , , 
27610	Окей, в угол	Окей, Гугл, , , , , , , , 
27611	Нинаю	Не знаю, , , , , , , , 
27612	Кутикулы в Мексике	Каникулы в Мексике, , , , , , , , 
27613	Философский камень и Дольче Азкабана	, , Фиолософский камень и узник Азкабана, , , Философский камень и Дольче Габана, , , 
27614	ПОТТЕРяшки	Потеряшки, , , , , , , , 
27615	Унесенные Гусём	Унесённые ветром, , , , , , , , 
27616	Ествественный интеллект	, Искусственный интеллект, , , , , , , 
27617	Несвязная ху(рма)	мат, , , , , , , , 
27618	Общество анонимных Зануд	, Общество анонимных алкоголиков, , , , , , , 
27619	Кто? Кого? Куда?	Кто?Где?Когда?, , , , , , , , 
27620	Флеш Рояль	Фреш Рояль, , , , , , , , 
27621	Ночной дожор	Ночной дозор, , , , , , , , 
27622	СССладкоеды	Сладкоежки, , , , , , , , 
27623	Поцелуй всадницу	Поцелуй в задницу, , , , , , , , 
27624	Инфузории в туфельках	, Инфузория туфелька, , , , , , , 
27625	PushKa	Пушка, , , , , , , , 
27626	Курт Котейн	Курт Кобейн, , , , , , , , 
27627	Пластилин овец	Властелин колец, , , , , , , , 
27628	Капитанская почка	, Капитанская дочка, , , , , , , 
27629	Фоксана	Оксана, , , , , , , , 
27630	Мария, кури	Мария Кюри, , , , , , , , 
27631	ГуглМопс	Гугл Maps, , , , , , , , 
27632	Братство винца	Братство кольца, , , , , , , , 
27633	Сердце за мерло	Сердце замерло, , , , , , , , 
27634	Тролли Вали	Траливали, , , , , , , , 
27635	Пластелин колец	Властелин колец, , , , , , , , 
27636	Ледовое позорище	Ледовое побоище, , , , , , , , 
27637	ВеснаНасТупила	Весна наступила, , , , , , , , 
27638	Мозговой шум	Мозговой штурм, , , , , , , , 
27639	Самоизоляц и Я	Самоизоляция, , , , , , , , 
27640	ТИГРовые креветки	Тигровые креветки, , , , , , , , 
27641	Ташканчики Байконура	, Тушканчики Байконура, , , , , , , 
27642	А них ж опыта больше	, А у них же опыта больше, , , , , , , 
27643	Пожуём увидим	Поживём увидим, , , , , , , , 
27644	Метазавры	Динозавры, , , , , , , , 
27645	Родственные девУШкИ	, Родственные души, , , , , , , 
27646	АльфРЭД	Альфред, , , , , , , , 
27647	Бла-Бла-Ленд	Ла-Ла-Лэнд, , , , , , , , 
27648	МысLee	Мысли, , , , , , , , 
27649	Сливочки общества	, Сливки общества, , , , , , , 
27650	Чай,кофе,переспим	, Чай, кофе, потанцуем, , , , , , , 
27651	В последний вагон	В последний путь, , , , , , , , 
27652	BREAKING VERY BAD	, Breaking Bad, , , , , , , 
27653	АнгелыМеркель	Ангела Меркель, , , , , , , , 
27654	7ъем 5ятниц	семь пятниц, , , , , , , , 
27655	МысLee белочки	Мысли белочки, , , , , , , , 
27656	Аццкая головоломка	, Адская головоломка, , , , , , , 
27657	Узники алкобара	Узник Азкабана, , , , , , , , 
27658	Жарим Портер	Гарри Поттер, , , , , , , , 
27659	Moonshine	Moonlight, , , , , , , , 
27660	Тупой, еще тупее	Тупой и ещё тупее, , , , , , , , 
27661	Лучшие подлюги	Лучшие подруги, , , , , , , , 
27662	Гусь Жванецкий	Гусь Жатецкий, , , , , , , , 
27663	Тупайа - это не прилагательное!	, Тупая-это не прилагательное!, , , , , , , 
27664	Культурный чердак	Культурный человек, , , , , , , , 
27665	Абибас Две полоски	, Адидас Две полоски, , , , , , , 
27666	Над пропастью поржи	, Над пропастью во ржи, , , , , , , 
27667	Да,Бро!	Добро, , , , , , , , 
27668	to be or not tu be	to be or not to be, , , , , , , , 
27669	Утомлённые блицем	Утомлённые солнцем, , , , , , , , 
27670	Семейный салат	Семейный совет, , , , , , , , 
27671	Это генитально!	Это гениально!, , , , , , , , 
27672	Синие ходоки	Белые ходаки, , , , , , , , 
27673	Утомлённые школой	, Утомлённые солнцем, , , , , , , 
27674	Семейники на Хуторе близ Диканьки	, Вечера на Хуторе близ Дианьки, , , , , , , 
27675	Операция МЫ и другие приключения Ромика	, , Операция Ы и другие приключения Шурика, , , , , , 
27676	ВолкOFF	Волков, , , , , , , , 
27677	Всё будет Okgood.ru	, Всё будет хорошо, , , , , , , 
27678	сГОДимся	Сгодимся, , , , , , , , 
27679	Инсайт	Inside, , , , , , , , 
27680	2020-03-08 00:00:00	восьмое марта, , , , , , , , 
27681	ИСКОпаемые	Ископаемые, , , , , , , , 
27682	Джибурда	Джигурда, , , , , , , , 
27683	Куриный бульон с косточкой	, Куриный бульон для души, , , , , , , 
27684	Кот дай виньчик	Код Да Винчи, , , , , , , , 
27685	БуДаПешт	Будапешт, , , , , , , , 
27686	Арагорновы штаны	, Архимедовы штаны, , , , , , , 
27687	Всмысле ЗАЧИМ	Всмысле зачем, , , , , , , , 
27688	Зайчатки разума	Зачатки разума, , , , , , , , 
27689	showMOZGOon	Show must go on, , , , , , , , 
27690	Всё НОПрасно	Всё напрасно, , , , , , , , 
27691	Кикиморы вятские	Кикиморы болотные, , , , , , , , 
27692	БУдаПЕШТ	Будапешт, , , , , , , , 
27693	Ну, допустим	Ну, погоди!, , , , , , , , 
27694	Скай Принт	Скайрим, , , , , , , , 
27695	ВедьмочкиТакиеВедьмочки	, Девочки такие девочки, , , , , , , 
27696	Пупырышки Саурона	, Кольца Саурона, , , , , , , 
27697	IQ-до	Айкидо, , , , , , , , 
27698	50 оттенков фиолетового	, 50 оттенков серого, , , , , , , 
27699	Фанком	Фантом, , , , , , , , 
27700	Внику Винни Пуха	Внуку Винни-Пуха, , , , , , , , 
27701	Айбелив Айкенфлай	I believe I can fly, , , , , , , , 
27702	Планы на ветер	Планы на вечер, , , , , , , , 
27703	Rодственные уши	, Родственные души, , , , , , , 
27704	Бронепотёмкин поносец	, БроненосецПотёмкин, , , , , , , 
27705	Барбудос	Барбадос, , , , , , , , 
27706	Селедки в шубе	Селёдка под шубой, , , , , , , , 
27707	Поколение V	Поколение Z, , , , , , , , 
27708	Халапеньё	Халапеньо, , , , , , , , 
27709	PinCode 0000	Пинкод 0000, , , , , , , , 
27710	Сидячие мудрецы	Ходячие мертвецы, , , , , , , , 
27711	сBRAINдили	Сбрендили, , , , , , , , 
27712	Как об стенку сова	, Как об стенку горох, , , , , , , 
27713	Шаверма	Шаурма, , , , , , , , 
27714	Корень мандрагоры мне в дышло	, Корень мандрагоры мне в лицо, , , , , , , 
27715	Платформа 9.75	Платформа 9 3/4, , , , , , , , 
27716	Brain'здец и Товарищи	, мат, , , , , , , 
27717	DruZZers	BraZZers, , , , , , , , 
27718	Санки Богомолова	Самки богомола, , , , , , , , 
27719	СовоКУПИМ волосы	, Купим волосы, , , , , , , 
27720	Люди М. И. К. С.	Люди Икс, , , , , , , , 
27721	Тигры разума	Игры разума, , , , , , , , 
27722	Ума бригада	Ума палата, , , , , , , , 
27723	Компот из одуванчиков	, Вино из одуванчиков, , , , , , , 
27724	Borschtsch	Борщ, , , , , , , , 
27725	Болимения	Булимия, , , , , , , , 
27726	ГАЗАТОЧКАНЕТ	Газа. Нет, , , , , , , , 
27727	TwoПиццы	Тупицы, , , , , , , , 
27728	Я хочу от тебя идей	, Я хочу от тебя детей, , , , , , , 
27729	Люди не в черном	Люди в чёрном, , , , , , , , 
27730	КВ-19	Короновирус-19, , , , , , , , 
27731	Взбитые сливки общества	, Сливки общества, , , , , , , 
27732	Дефицит мюслей в голове	, Дефицит мыслей в голове, , , , , , , 
27733	Gangsta gussi	Gangsta Gucci, , , , , , , , 
27734	Мюсли в голове	Мысли в голове, , , , , , , , 
27735	СМИшно	Смешно, , , , , , , , 
27736	Дети Карантино	Квентин Тарантино, , , , , , , , 
27737	Серб и молод	Серп и молот, , , , , , , , 
27738	АшПи	HP, , , , , , , , 
27739	ДвеЛен и ребята	Элен и ребята, , , , , , , , 
27740	Карл не крал и не ел	, Карл у Клары украл кораллы, , , , , , , 
27741	Форд бояр	Форд Боярд, , , , , , , , 
27742	ТРИДУХА	Три духа, , , , , , , , 
27743	ДоббиДалиНосок	Добби дали носок, , , , , , , , 
27744	ДомаЖор	До мажор, , , , , , , , 
27745	БэГис	2Гис, , , , , , , , 
27746	Стройбат на улице Вязов	, Кошмар на улице Вязов, , , , , , , 
27747	Стражи салатиков	Стражи галактики, , , , , , , , 
27748	Навернопотомучто	Наверное потому что, , , , , , , , 
27749	"Группа ""В уха"""	Групповуха, , , , , , , , 
27750	МедБред	Медбрат, , , , , , , , 
27751	Ананасовый экспресс	, Восточный экспресс, , , , , , , 
27752	Всё покер	мат, , , , , , , , 
27753	Йети Эйнштейна	Дети Эйнштейна, , , , , , , , 
27754	58 элемент	5 элемент, , , , , , , , 
27755	Предварительные маски	, Предварительрные ласки, , , , , , , 
27756	Уральские чебупели	, Уральские пельмени, , , , , , , 
27757	Error 303	Error 404, , , , , , , , 
27758	Бергамот мне в рот	бутерброд мне в рот, , , , , , , , 
27759	Рабка любит тишину	счастье любит тишину, , , , , , , , 
27760	Жареные гвозди	жареный грузди, , , , , , , , 
27761	Так и Пишется	-, , , , , , , , 
27762	Диванные мозгошмыги	-, , , , , , , , 
27763	Купим казань	купим казан, , , , , , , , 
27764	Банановая луна	-, , , , , , , , 
27765	Дрель	-, , , , , , , , 
27766	Brainstorm	-, , , , , , , , 
27767	Папа Дав, квадратные штаны 	Губка Боб квадратные штаны, , , , , , , , 
27768	эффект Допрела	-, , , , , , , , 
27769	Весёлые грибы	веселье после грибов, , , , , , , , 
27770	Первоклашки	-, , , , , , , , 
27771	Супер Селтекс	селтекс каталог, , , , , , , , 
27772	Птица-шпатель	птица-говорун, , , , , , , , 
27773	Малышки на Миллиион	-, , , , , , , , 
27774	Разгульный Ироль Николаев	Игорь Николаев, , , , , , , , 
27775	Чёрные пусечки	чёрные собачки, , , , , , , , 
27776	Мозговой штрудельь	мозговой штурм, , , , , , , , 
27777	Шо опять?!	-, , , , , , , , 
27778	кнуМ	кнут, , , , , , , , 
27779	Акно	-, , , , , , , , 
27780	Автопартнер	автоплатеж, , , , , , , , 
27781	Очкароботы	очковая кобра, , , , , , , , 
27782	Лингвистический оргазм	-, , , , , , , , 
27783	Короче, Склифосовский 	-, , , , , , , , 
27784	SMors	Smirs.com, , , , , , , , 
27785	Стальные Бидоны Укупника	Аркадий Укупник, , , , , , , , 
27786	И так пойдет	-, , , , , , , , 
27787	Мозгоедки	Мозгоклюи, , , , , , , , 
27788	Я сюда не играть пришел	-, , , , , , , , 
27789	Ёжики за гранью разумного	за гранью разумного, , , , , , , , 
27790	Легендарная Жилетка Вассермана	-, , , , , , , , 
27791	Крутое пике!	-, , , , , , , , 
27792	До чего дошел прогресс	-, , , , , , , , 
27793	Набрали по объявлению	-, , , , , , , , 
27794	Link	-, , , , , , , , 
27795	Мужицкий Дождь	-, , , , , , , , 
27796	Собачий куличик	пасхальный куличик, , , , , , , , 
27797	Еле-еле	-, , , , , , , , 
27798	Золотой звезды колпак	-, , , , , , , , 
27799	Чак-Чак Норрис	Чак Норрис, , , , , , , , 
27800	Неистово Пью	сильно пью, , , , , , , , 
27801	СоюзСамыхСимпатичныхРебят	Союз Советских Социалистических Республик, , , , , , , , 
27802	Новые Апельсины Реально Безбашенные	надоедливый апельсин, , , , , , , , 
27803	Редупликаторы	Редупликация, , , , , , , , 
27804	СЧАСТЛИВЫЕ	-, , , , , , , , 
27805	Цукаты-Ц	Цукаты, , , , , , , , 
27806	Местные	-, , , , , , , , 
27807	Магистры Прочности	Магистры Магии, , , , , , , , 
27808	Копия Новая папка (44)	-, , , , , , , , 
27809	НСЛ	-, , , , , , , , 
27810	КАМОД	-, , , , , , , , 
27811	Спритни Бирс	Бритни Спирс, , , , , , , , 
27812	Альфа	-, , , , , , , , 
27813	Биномы	Binomo, , , , , , , , 
27814	НЕСЛУЧАЙНЫЕ СВЯЗИ	случайные связи, , , , , , , , 
27815	Труба дело	-, , , , , , , , 
27816	Больше чем собутыльники	больше чем друзья, , , , , , , , 
27817	Конченые	-, , , , , , , , 
27818	ФБР	-, , , , , , , , 
27819	ПоТоМу ЧтО ГлаДиоЛус	-, , , , , , , , 
27820	Афродита	-, , , , , , , , 
27821	УМКИ	умники и умницы, , , , , , , , 
27822	Подсознание	-, , , , , , , , 
27823	Метарепрезентация	-, , , , , , , , 
27824	Hechs	-, , , , , , , , 
27825	Аборигены из Алтуфьего	жители Алтуфиево, , , , , , , , 
27826	"""Кин-дза-дза"" "	-, , , , , , , , 
27827	Володя, ты не прав!	--, , , , , , , , 
27828	Ящик Памидоры голосовалза 18+	, ящик пандоры, , , , , , , 
27829	Пернатые самураи	, пернатые попугаи, , , , , , , 
27830	Smorodina Цветы	цветы, , , , , , , , 
27831	МЮСЛИ	-, , , , , , , , 
27832	Снято с охраны	-, , , , , , , , 
27833	ВИВА	Viva деньги, , , , , , , , 
27834	Огуречный лимонад	-, , , , , , , , 
27835	Манго Освобожденный	Джанго освобожденный, , , , , , , , 
27836	Ни рыба	ни рыба ни мясо, , , , , , , , 
27837	Неизвестный исполнитель	-, , , , , , , , 
27838	Сверхразум	-, , , , , , , , 
27839	Безбашенные	-, , , , , , , , 
27840	Интуиция Да!	Интуиция, , , , , , , , 
27841	2+2	-, , , , , , , , 
27842	Совершенно секретно	-, , , , , , , , 
27843	В Эрудированном Состоянии	в заторможенном состоянии, , , , , , , , 
27844	Я не знал, что ей 12 	я не знал, что ей нет 18, , , , , , , , 
27845	Забавы ради	-, , , , , , , , 
27846	Приемные дети Франкештейна	, дети Франкештейна, , , , , , , 
27847	35-ый день рождения	, -, , , , , , , 
27848	БРАТСТВО БЕЗ ЗНАМЁН	, -, , , , , , , 
27849	Машина времени в джакузи	, -, , , , , , , 
27850	~No ideas~	, -, , , , , , , 
27851	Чайнатаун	, -, , , , , , , 
27852	ОБНИНСК	, -, , , , , , , 
27853	Скуадра Адзурра	, -, , , , , , , 
27854	СМЕРТЬуЧебуречной	, Встреча у чебуречной, , , , , , , 
27855	ШтаГидеКада	, что где когда , , , , , , , 
27856	Яды и Великая история отравлений	, Яды или всемирная история отравлений, , , , , , , 
27857	Дед Мазай	, Дед Мазай и зайцы, , , , , , , 
27858	Доширак со льдом	, Коктейль со льдом, , , , , , , 
27859	Ничего Обычного	, Ничего необычного, , , , , , , 
27860	Курага и изюм	, -, , , , , , , 
27861	Поклонники винишка	, -, , , , , , , 
27862	HomeAlone	, -, , , , , , , 
27863	Рукавина	, Раковина, , , , , , , 
27864	Никогда не были и вот опять	, Нигде не были и вот опять , , , , , , , 
27865	Мексиканский Розенбаум	, Александр Розенбаум, , , , , , , 
27866	Друзья Геймлиха	, Геймлих, Генри, , , , , , , 
27867	Поперечный импульс	, Поперечный импульс, , , , , , , 
27868	Мать Марадоны	, Мать Тереза , , , , , , , 
27869	Ниагара	, -, , , , , , , 
27870	Задорные мазохисты	, -, , , , , , , 
27871	Без претензий	, -, , , , , , , 
27872	Сковородка Сэмуфйза	, Сковородка от Сема, , , , , , , 
27873	БИТономешалка	, -, , , , , , , 
27874	Сила Икс	, Люди ИКС , , , , , , , 
27875	2из3 шурупов	, -, , , , , , , 
27876	#PRIDE8	, -, , , , , , , 
27877	Вечериночка	, -, , , , , , , 
27878	Жареный апельсин	, Заводной апельсин, , , , , , , 
27879	Выбургеры	, Бургеры, , , , , , , 
27880	!Yes Pappa!	, -, , , , , , , 
27881	"Борт ""ХХХ"""	, Да, папа, , , , , , , 
27882	Побег из Шоушенка	, -, , , , , , , 
27883	ROSSICA ONE LOVE	, -, , , , , , , 
27884	№1	, -, , , , , , , 
27885	BDC	, ВСD, , , , , , , 
27886	Текила	, -, , , , , , , 
27887	Гудини	, -, , , , , , , 
27888	Vegas	, -, , , , , , , 
27889	Джентельмены на чаче	, Джентльмены удачи, , , , , , , 
27890	Двое из норы	, Двое из ларца , , , , , , , 
27891	Альфа Центавра	, Авадо кедавра, , , , , , , 
27892	Дед Диор	, Дед Мазай , , , , , , , 
27893	Машинист опудривателя окатышей	, -, , , , , , , 
27894	Корпорация ипэшников	, Корпорация монстров , , , , , , , 
27895	Деликатный Отжим	, -, , , , , , , 
27896	Широкую на Широкую	, -, , , , , , , 
27897	Йети Галактики	, Стражи галактики , , , , , , , 
27898	Разумные бонаны	, Разумные Бананы , , , , , , , 
27899	Касабланка 	, -, , , , , , , 
27900	Bubble Gum	, -, , , , , , , 
27901	Данные караси	, -, , , , , , , 
27902	Будем посмотреть	, Будем смотреть , , , , , , , 
27903	Мы ваш смысл жизни	, -, , , , , , , 
27904	Ю-тим	, Твоя команда , , , , , , , 
27905	Серегины лабутэны	, Лабутены , , , , , , , 
27906	88005553535	, -, , , , , , , 
27907	Зернист в клумбе	, Красивые клумбы , , , , , , , 
27908	Те ещё фрукты	, -, , , , , , , 
27909	Наш ребёнок - Настя	, -, , , , , , , 
27910	Шолик	, Дмитрий Шолик, , , , , , , 
27911	Колобокъ	, -, , , , , , , 
27912	Ящик Помидоры	, Ящик пандоры, , , , , , , 
27913	Полено Гагарина	, Полина Гагарина , , , , , , , 
27914	Шпильки	, -, , , , , , , 
27915	Только девушки	, -, , , , , , , 
27916	Пьяный Гарри	, Гарри Поттер, , , , , , , 
27917	Недавно мобильные	, -, , , , , , , 
27918	Моя любмая команда	, -, , , , , , , 
27919	Кубик Рубика	, Кубик рубик, , , , , , , 
27920	It's OK	, -, , , , , , , 
27921	Мы ещё подумаем	, -, , , , , , , 
27922	Сборная	, -, , , , , , , 
27923	Мишкин Лес	, -, , , , , , , 
27924	В яблочко дома	, Я , , , , , , , 
27925	Без царя в голове	, В яблочко , , , , , , , 
27926	Ой, мамочки...	, -, , , , , , , 
27927	Что? Где? Олег?	, Что? Где? Когда?, , , , , , , 
27928	Незнайки на игре	, Незнайка на луне , , , , , , , 
27929	Аааапчхи!	, -, , , , , , , 
27930	Ромашки	, -, , , , , , , 
27931	Я не с ними	, -, , , , , , , 
27932	А не пойти ка ли Вам в отпуск	, -, , , , , , , 
27933	СпиртСмены	, Рабочие смены , , , , , , , 
27934	Сарафанное радио	, -, , , , , , , 
27935	Номер 17	, Номер 5, , , , , , , 
27936	У девочки нет имени	, -, , , , , , , 
27937	Я листок в потоке мироздания	, -, , , , , , , 
27938	Эколоселение	, Экопоселение, , , , , , , 
27939	Кутикула	, -, , , , , , , 
27940	Унесенный спиртом	, Унесенные ветром, , , , , , , 
27941	Один в поле воин	, Один в поле не воин, , , , , , , 
27942	В моде при любой погоде	, -, , , , , , , 
27943	Офисные енотики	, Офисные цветы , , , , , , , 
27944	Это фиаско, братан!	, -, , , , , , , 
27945	Старая корова	, -, , , , , , , 
27946	Купозники	, Купальники , , , , , , , 
27947	Внимание, вопрос! 	, -, , , , , , , 
27948	Уравнобешенные	, Уравновешенные, , , , , , , 
27949	Следствие вели…	, -, , , , , , , 
27950	В чём дело?	, -, , , , , , , 
27951	Всегда трезвые грузчики 25-17-17	, -, , , , , , , 
27952	Друзья Друзя	, Друзья друзей , , , , , , , 
27953	Самки богомола & Co	, Самки богомола , , , , , , , 
27954	А давай!	, -, , , , , , , 
27955	"Друзья брата жениха"""	, -, , , , , , , 
27956	Трава для бедра миссис Хадсон	, -, , , , , , , 
27957	Петрушки	, -, , , , , , , 
27958	БроТаны	, -, , , , , , , 
27959	Мимо заходили	, -, , , , , , , 
27960	Аминокислоты	, -, , , , , , , 
27961	Girls just wanna have gun	, -, , , , , , , 
27962	Бешеный клоп	, -, , , , , , , 
27963	Чики-Брики-Бамбони	, Ямки бамбони, , , , , , , 
